Date,CENTRO CO ppm,CENTRO NO ppb,CENTRO NO2 ppb,CENTRO NOX ppb,CENTRO O3 ppb,CENTRO PM10 ug/m3,CENTRO PM2.5 ug/m3,CENTRO PRS mmhg,CENTRO RAINF mm/hr,CENTRO RH %,CENTRO SO2 ppb,CENTRO SR KW/m2,CENTRO TOUT degC,CENTRO WSR KMPH,CENTRO WDV DEG
2024-11-05 08:00:00,1.85,12.1,25.2,37.1,15.0,122.0,27.53,700.3,0.0,37.0,7.2,0.053,20.17,6.2,87.0
2024-11-05 09:00:00,1.72,12.4,21.5,33.8,21.0,126.0,24.48,701.0,0.0,32.0,6.7,0.215,21.15,9.2,86.0
2024-11-05 10:00:00,1.63,12.2,19.3,31.3,27.0,117.0,24.87,701.4,0.0,30.0,7.6,0.365,21.85,9.8,96.0
2024-11-05 11:00:00,1.6,10.7,17.9,28.5,32.0,115.0,25.45,701.3,0.0,29.0,6.6,0.482,22.64,10.8,109.0
2024-11-05 12:00:00,1.51,7.3,14.0,21.2,41.0,127.0,23.44,700.9,0.0,28.0,5.1,0.55,23.07,12.6,97.0
2024-11-05 13:00:00,1.68,10.3,15.7,25.9,45.0,119.0,23.82,700.2,0.0,27.0,5.2,0.57,23.76,12.1,104.0
2024-11-05 14:00:00,1.57,7.2,15.4,22.5,51.0,117.0,23.88,699.3,0.0,26.0,5.9,0.534,24.33,12.5,105.0
2024-11-05 15:00:00,1.57,6.8,16.2,22.8,57.0,120.0,23.6,698.8,0.0,26.0,6.0,0.448,24.61,13.1,105.0
2024-11-05 16:00:00,1.61,4.8,16.2,20.8,66.0,108.0,24.6,698.5,0.0,29.0,5.5,0.32,24.5,13.1,108.0
2024-11-05 17:00:00,1.58,3.8,13.7,17.3,67.0,110.0,24.0,698.5,0.0,33.0,4.5,0.16,23.83,11.6,124.0
2024-11-05 18:00:00,1.68,3.6,15.1,18.5,56.0,101.0,25.79,698.8,0.0,40.0,4.2,0.014,22.2,10.2,118.0
2024-11-05 19:00:00,1.89,8.0,24.2,32.0,45.0,94.0,27.44,699.0,0.0,42.0,6.0,0.0,21.54,7.7,117.0
2024-11-05 20:00:00,1.91,4.7,26.2,30.7,38.0,86.0,28.26,699.4,0.0,42.0,5.8,0.0,21.13,5.6,143.0
2024-11-05 21:00:00,1.82,3.4,23.3,26.5,37.0,84.0,25.49,699.7,0.0,42.0,5.0,0.0,20.6,2.9,135.0
2024-11-05 22:00:00,1.74,5.5,21.1,26.5,36.0,90.0,24.48,700.0,0.0,43.0,4.5,0.0,20.19,3.9,154.0
2024-11-05 23:00:00,1.72,3.3,21.9,25.0,30.0,80.0,28.31,700.0,0.0,47.0,4.0,0.0,19.3,2.7,110.0
2024-11-06 00:00:00,1.72,7.6,22.5,29.9,26.0,71.0,24.16,699.8,0.0,48.0,3.7,0.0,18.73,2.5,151.0
2024-11-06 01:00:00,2.12,43.9,44.1,88.0,3.0,90.0,40.53,699.6,0.0,51.0,4.0,0.0,17.85,1.7,299.0
2024-11-06 02:00:00,1.94,36.0,41.0,76.9,2.0,115.0,42.81,699.4,0.0,53.0,3.9,0.0,17.21,1.4,350.0
2024-11-06 03:00:00,1.91,43.3,42.5,85.7,2.0,138.0,51.56,699.1,0.0,55.0,4.0,0.0,16.77,1.3,313.0
2024-11-06 04:00:00,1.72,29.5,42.3,71.7,2.0,160.0,49.62,699.0,0.0,55.0,3.9,0.0,16.37,1.7,357.0
2024-11-06 05:00:00,1.75,23.4,44.8,68.0,2.3333333333333335,154.0,43.25,698.9,0.0,55.0,3.8,0.0,15.96,1.3,330.0
2024-11-06 06:00:00,1.81,65.7,38.9,104.5,2.6666666666666665,146.0,46.21,699.1,0.0,57.0,3.9,0.0,15.31,1.3,321.0
2024-11-06 07:00:00,2.39,105.6,39.6,145.1,3.0,154.0,54.9,699.2,0.0,58.0,4.3,0.0,15.03,1.3,332.0
2024-11-06 08:00:00,2.49,76.0,47.4,222.5,4.0,226.0,81.15,699.6,0.0,55.0,4.8,0.054,16.75,2.0,324.0
2024-11-06 09:00:00,2.59,46.4,66.3,112.6,17.0,306.0,54.98,699.9,0.0,44.0,4.3,0.219,20.25,2.6999999999999997,65.0
2024-11-06 10:00:00,1.92,15.9,28.3,44.1,32.0,189.0,32.62,700.0,0.0,37.0,4.6,0.372,22.58,3.4,34.0
2024-11-06 11:00:00,1.7,7.7,19.1,26.6,49.0,112.0,25.55,699.8,0.0,37.0,7.1,0.49,23.58,5.5,92.0
2024-11-06 12:00:00,1.98,11.5,31.1,42.4,49.0,92.0,31.16,699.3,0.0,36.0,9.0,0.559,24.22,6.1,113.0
2024-11-06 13:00:00,2.25,15.5,42.1,57.4,54.0,100.0,41.19,698.7,0.0,35.0,13.1,0.573,24.93,8.5,108.0
2024-11-06 14:00:00,1.92,8.8,32.7,41.3,67.0,121.0,34.25,698.1,0.0,34.0,15.7,0.538,25.31,10.3,107.0
2024-11-06 15:00:00,1.91,5.7,29.3,34.8,89.0,110.0,31.78,697.7,0.0,35.0,16.3,0.451,25.65,10.9,112.0
2024-11-06 16:00:00,1.9,4.8,28.4,33.1,95.0,104.0,32.14,697.6,0.0,37.0,11.5,0.319,25.79,9.9,112.0
2024-11-06 17:00:00,1.83,4.2,25.4,29.4,78.0,102.0,27.93,697.8,0.0,40.0,9.3,0.155,25.34,10.0,113.0
2024-11-06 18:00:00,1.83,4.9,22.2,27.0,61.0,94.0,24.51,698.2,0.0,45.0,7.0,0.01,24.19,9.2,136.0
2024-11-06 19:00:00,2.2,9.2,25.1,34.1,44.0,79.0,22.99,698.5,0.0,48.0,4.8,0.0,23.27,7.5,158.0
2024-11-06 20:00:00,1.95,3.8,24.4,28.1,32.0,66.0,22.99,699.0,0.0,49.0,4.4,0.0,22.6,6.7,151.0
2024-11-06 21:00:00,1.94,5.9,26.5,32.2,24.0,63.0,26.16,699.5,0.0,51.0,4.4,0.0,21.84,5.3,169.0
2024-11-06 22:00:00,2.27,5.6,33.2,38.6,15.0,59.0,23.65,699.7,0.0,52.0,4.2,0.0,21.15,3.6,184.0
2024-11-06 23:00:00,2.84,77.1,44.2,121.2,4.0,65.0,52.85,699.8,0.0,57.0,4.4,0.0,19.93,2.7,355.0
2024-11-07 00:00:00,2.83,135.5,46.0,181.6,2.0,208.0,72.95,699.5,0.0,60.0,4.8,0.0,19.12,2.5,333.0
